着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803020201
1,1,1,ハイデフィニション,牝3,54,中舘英二,1:09.4,,**,3-3,38.0,1.8,1,496(-2),,,,[東] 高橋裕,岡田牧雄,500.0,200803020201
2,4,6,スズカエルマンボ,牝3,54,後藤浩輝,1:09.5,3/4,**,9-11,37.0,9.0,3,452(+6),,,,[東] 伊藤圭三,永井啓弍,165.0,200803020201
2,7,13,トーセンビレッタ,牝3,51,黛弘人,1:09.5,同着,**,2-2,38.3,17.0,5,446(0),,,,[東] 中野栄治,島川隆哉,165.0,200803020201
4,2,2,ロングナイト,牝3,54,松岡正海,1:09.6,クビ,**,4-4,37.5,16.6,4,430(0),,,,[東] 斎藤誠,野村茂雄,75.0,200803020201
5,8,14,トーセンベルベット,牝3,54,柴田善臣,1:09.7,1/2,**,11-9,37.1,3.4,2,494(+8),,,,[東] 柴崎勇,島川隆哉,50.0,200803020201
6,3,5,エビアンビューティ,牝3,54,大庭和弥,1:10.2,3,**,12-11,37.4,59.3,10,470(-4),,,,[東] 石栗龍彦,岡田隆寛,,200803020201
7,7,12,サマーシルクロード,牝3,54,柴山雄一,1:10.2,クビ,**,13-13,36.3,34.5,7,436(+14),,,,[東] 根本康広,セゾンレースホース,,200803020201
8,4,7,パレスチャイナ,牝3,51,宮崎北斗,1:10.4,1.1/4,**,4-4,38.3,97.5,11,484(+10),,,,[東] 武藤善則,西村豊,,200803020201
9,2,3,ピンクデビュー,牝3,54,高橋智大,1:10.5,クビ,**,1-1,39.3,144.4,13,438(+2),,,,[東] 高橋義博,高橋信博,,200803020201
10,8,15,ジェネスサンライズ,牝3,54,中谷雄太,1:10.5,クビ,**,9-9,38.0,105.9,12,404(+4),,,,[東] 加藤征弘,山口真吾,,200803020201
11,3,4,シャンディガフ,牝3,53,田中博康,1:10.6,クビ,**,8-6,38.2,52.5,8,434(+6),,,,[東] 手塚貴久,星野壽市,,200803020201
12,5,8,ツキノイノリ,牝3,51,池崎祐介,1:10.7,1/2,**,7-8,38.5,157.8,14,440(-14),,,,[東] 保田一隆,シルク,,200803020201
13,6,11,レディカンザシ,牝3,54,江田照男,1:10.9,1.1/4,**,4-6,38.9,58.0,9,422(+16),,,,[東] 清水英克,ロードホースクラブ,,200803020201
14,6,10,アーチストダンス,牝3,54,内田博幸,1:11.4,3,**,14-14,37.3,31.0,6,482(0),,,,[東] 堀井雅広,中村昭博,,200803020201
15,5,9,ブライティアラック,牝3,51,伊藤工真,1:11.4,ハナ,**,15-15,36.7,181.1,15,430(0),,,,[東] 鈴木康弘,小林昌志,,200803020201
