着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803010209
1,7,13,ノーキュアノーペイ,牡4,57,川田将雅,1:46.3,,**,1-1-1-1,38.9,6.2,2,558(+2),,,,[東] 松山将樹,アカデミー,730.0,200803010209
2,2,3,クラッシックベル,牡6,54,田中健,1:46.3,ハナ,**,6-6-4-2,38.5,9.1,6,472(-16),,,,[西] 清水出美,松元保,290.0,200803010209
3,3,5,キープウイニング,牡5,57,安藤光彰,1:46.3,アタマ,**,10-10-10-6,37.9,9.1,5,492(+6),,,,[東] 中島敏文,真部晴徳,180.0,200803010209
4,3,4,エバーモア,牡4,57,中舘英二,1:46.5,1.1/2,**,15-15-12-12,37.7,3.6,1,486(0),,,,[東] 矢野照正,永野千枝子,110.0,200803010209
5,2,2,ダンサーズナカヤマ,牡8,54,宮崎北斗,1:46.6,クビ,**,12-11-10-9,38.2,27.1,9,490(-10),,,,[東] 高市圭二,中山牧場,73.0,200803010209
6,8,15,アグネスゼッセイ,牡4,55,藤岡康太,1:46.8,1.1/4,**,2-4-4-2,39.1,6.2,3,506(-2),,,,[西] 西浦勝一,渡辺孝男,,200803010209
7,6,11,ニチリンタカラ,牡6,57,石橋脩,1:47.2,2.1/2,**,8-8-7-6,39.2,13.4,8,494(-6),,,,[東] 柴田政人,岡田勇,,200803010209
8,5,9,ヒシマイスター,牡4,57,大野拓弥,1:47.3,1/2,**,2-2-2-2,39.7,12.6,7,490(-2),,,,[東] 中野隆良,阿部雅一郎,,200803010209
9,4,7,スルーザグリーン,セ4,57,南田雅昭,1:47.5,1.1/2,**,14-14-13-12,38.5,206.8,15,448(-18),,,,[東] 南田美知,誓山正伸,,200803010209
10,7,12,モハチビスティー,牡4,57,勝浦正樹,1:47.6,1/2,**,6-6-4-5,39.9,56.4,12,470(0),,,,[東] 大江原哲,ビスティーズホースユニオン,,200803010209
11,6,10,キタサンダイオウ,牡4,57,西田雄一,1:48.2,3.1/2,**,12-13-13-14,39.3,61.1,13,478(+16),,,,[東] 中野渡清,大野商事,,200803010209
12,1,1,エイトサンデー,牡4,57,柴山雄一,1:48.4,1,**,9-9-9-9,40.2,33.5,10,500(-4),,,,[東] 小西一男,河合良太郎,,200803010209
13,8,14,シークルーザー,牡7,54,大下智,1:48.6,1.1/2,**,2-4-7-11,40.6,40.2,11,464(-2),,,,[西] 梅内忍,藤田宗平,,200803010209
14,5,8,トゥルーノース,牡4,57,青木芳之,1:49.7,7,**,2-2-2-6,42.1,6.9,4,490(+10),,,,[東] 堀宣行,広尾レース,,200803010209
15,4,6,ラガールージュ,牡6,56,北村友一,1:50.0,2,**,10-11-15-15,40.4,124.8,14,456(-26),,,,[西] 田所清広,奥村啓二,,200803010209
