着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706010107
1,3,6,トウショウアタック,牡5,57,郷原洋司,1:55.4,,**,1-1-1-1,40.2,11.9,4,476(+10),,,,[東] 保田一隆,トウショウ産業,740.0,200706010107
2,5,10,ノンコ,牝4,54,田中勝春,1:55.9,3,**,9-9-7-7,40.1,5.7,3,466(+4),,,,[東] 勢司和浩,山田和正,300.0,200706010107
3,8,15,トラストブラック,牡5,56,吉田隼人,1:56.2,1.3/4,**,9-10-10-8,40.1,38.6,10,556(+14),,,,[東] 土田稔,菅波雅巳,190.0,200706010107
4,1,2,デルマジュピター,牡5,57,後藤浩輝,1:56.6,2.1/2,**,15-15-15-13,40.0,153.3,14,458(+6),,,,[東] 高橋義博,浅沼廣幸,110.0,200706010107
5,2,3,ロードモデラート,牡5,54,的場勇人,1:56.6,クビ,**,13-14-13-11,40.2,93.0,12,490(-2),,,,[東] 伊藤正徳,ロードホースクラブ,74.0,200706010107
6,5,9,アルカライズ,牡4,56,菊沢隆徳,1:56.9,2,**,13-13-10-8,40.9,18.3,7,488(0),,,,[東] 奥平真治,社台レースホース,,200706010107
7,6,12,マイネルピエール,牡6,57,柴山雄一,1:57.1,1,**,12-12-7-4,41.3,67.8,11,490(+2),,,,[東] 成島英春,サラブレッドクラブ・ラフィアン,,200706010107
8,4,8,スズカイエロー,牡4,56,内田博幸,1:57.3,1.1/4,**,8-7-4-4,41.7,3.6,2,530(+10),,,,[東] 伊藤圭三,永井啓弍,,200706010107
9,7,13,テンガロンハット,牡5,57,バルジュ,1:57.4,1/2,**,6-6-4-4,41.8,14.3,5,570(+38),,,,[東] 河野通文,キャロットファーム,,200706010107
10,8,16,ダイワアデオス,牡4,56,北村宏司,1:57.4,クビ,**,3-3-3-2,42.0,17.9,6,530(-2),,,,[東] 増沢末夫,大城敬三,,200706010107
11,7,14,ミックベンハー,牡4,56,小野次郎,1:57.8,2.1/2,**,2-2-2-2,42.5,112.6,13,490(+16),,,,[東] 中野栄治,イースターサンデー,,200706010107
12,6,11,コスモメテオ,牡4,56,石橋脩,1:59.6,大,**,6-7-7-12,43.7,21.3,8,492(+6),,,,[東] 相沢郁,ビッグレッドファーム,,200706010107
13,4,7,ナイトカラノテガミ,牡5,54,千葉直人,1:59.6,クビ,**,3-3-10-14,43.5,198.1,16,506(+4),,,,[東] 阿部新生,千田幸信,,200706010107
14,1,1,ロトスナイパー,牡5,57,中舘英二,1:59.8,1.1/4,**,5-5-4-8,44.2,34.8,9,480(-27),,,,[東] 成島英春,國武佳博,,200706010107
15,2,4,ジュエリーティアラ,牝4,54,木幡初広,2:00.6,5,**,11-10-13-14,44.3,182.6,15,450(+12),,,,[東] 藤原辰雄,鈴木芳夫,,200706010107
中,3,5,キングアーサー,牡4,56,横山典弘,,,**,,,2.6,1,550(+8),,,,[東] 藤沢和雄,社台レースホース,,200706010107
